Symbol,Name,Asset Type,Total Score (%),Current Ratio (Value),Current Ratio (Strength %),Short Ratio (Value),Short Ratio (Strength %),Debt to Equity (Value),Debt to Equity (Strength %),Dividend Yield (Value),Dividend Yield (Strength %),EBITDA Margin (Value),EBITDA Margin (Strength %),EV/EBITDA (Value),EV/EBITDA (Strength %),Forward P/E Ratio (Value),Forward P/E Ratio (Strength %),Insider Ownership (Value),Insider Ownership (Strength %),Institutional Ownership (Value),Institutional Ownership (Strength %),Trailing P/E Ratio (Value),Trailing P/E Ratio (Strength %),PEG Ratio (Value),PEG Ratio (Strength %),Price to Book (Value),Price to Book (Strength %),Profit Margin (Value),Profit Margin (Strength %),Analyst Recommendation (Value),Analyst Recommendation (Strength %),Return on Equity (Value),Return on Equity (Strength %),Revenue Growth (Value),Revenue Growth (Strength %),Short % of Float (Value),Short % of Float (Strength %)
TRGP,Targa Resources Corp.,STOCK,41.24,0.67x,3,3.17x,81,548.63x,0,1.67%,27,28.46%,92,14.89x,0,21.94x,0,1.39%,40,96.14%,99,29.95x,0,1.25x,66,17.79x,0,11.29%,45,Strong Buy (1.41),89,51.38%,100,-7.90%,2,2.54%,94
TRI,Thomson Reuters Corporation,STOCK,45.24,0.64x,2,7.27x,9,20.04x,88,2.78%,58,28.00%,91,20.97x,20,18.74x,82,70.59%,0,27.53%,10,28.70x,65,6.25x,0,3.56x,31,20.09%,80,Buy (1.78),80,12.40%,49,5.20%,51,N/A,N/A
TRMB,Trimble Inc.,STOCK,54.23,1.08x,18,2.83x,85,26.75x,93,N/A,N/A,22.80%,25,21.16x,87,16.92x,97,0.40%,34,101.31%,99,38.88x,65,3.77x,0,2.77x,98,11.82%,47,Strong Buy (1.31),91,7.32%,12,-1.40%,13,2.56%,94
TROW,"T. Rowe Price Group, Inc.",STOCK,63.99,5.54x,100,8.93x,2,3.69x,74,5.03%,95,39.53%,100,6.82x,99,10.68x,96,1.78%,42,86.37%,97,11.10x,89,12.76x,0,2.08x,60,28.28%,100,Hold (3.38),15,18.69%,99,5.30%,52,12.89%,12
TRV,"The Travelers Companies, Inc.",STOCK,62.53,0.34x,1,2.97x,83,28.98x,94,1.64%,27,21.61%,62,6.33x,99,10.69x,96,0.27%,34,90.35%,98,9.09x,97,2.36x,2,2.03x,63,15.54%,62,Hold (2.59),45,25.27%,100,1.00%,24,2.15%,95
TSCO,Tractor Supply Company,STOCK,58.59,1.38x,48,4.80x,49,254.95x,0,2.84%,60,12.47%,10,12.29x,89,14.60x,92,0.24%,34,99.36%,99,16.67x,93,1.55x,37,6.91x,0,6.91%,28,Buy (2.00),73,45.50%,100,3.60%,40,5.98%,76
TSLA,"Tesla, Inc.",STOCK,38.63,2.04x,96,1.07x,97,18.74x,87,N/A,N/A,11.33%,7,129.77x,0,154.15x,0,11.12%,93,44.66%,37,358.55x,0,5.25x,0,17.85x,0,3.95%,16,Buy (2.36),57,4.90%,5,15.80%,96,2.13%,95
TSN,"Tyson Foods, Inc.",STOCK,56.50,1.53x,66,3.21x,80,46.04x,100,3.20%,70,4.69%,1,11.46x,87,14.47x,92,2.62%,47,92.89%,99,113.71x,0,1.04x,85,1.24x,93,0.36%,1,Buy (2.40),55,1.26%,1,5.10%,51,3.19%,92
TT,Trane Technologies plc,STOCK,47.77,1.09x,18,2.74x,86,53.60x,100,0.86%,13,19.61%,47,26.45x,3,28.68x,36,0.27%,34,88.97%,98,37.16x,31,2.42x,2,12.56x,0,13.41%,54,Buy (2.23),63,36.63%,100,6.00%,57,1.66%,96
TTD,"The Trade Desk, Inc.",STOCK,73.15,1.61x,74,3.61x,74,17.56x,86,N/A,N/A,23.83%,76,15.46x,69,10.19x,97,2.26%,44,83.73%,96,26.93x,72,0.90x,95,4.64x,8,15.31%,61,Buy (2.24),62,16.32%,82,14.30%,94,19.84%,1
TTWO,"Take-Two Interactive Software, Inc.",STOCK,43.40,1.14x,22,3.30x,79,100.45x,70,N/A,N/A,12.55%,10,50.01x,0,27.42x,43,1.36%,39,95.59%,99,N/A,N/A,2.36x,2,11.44x,0,-60.45%,0,Strong Buy (1.25),92,-86.22%,0,24.90%,100,3.68%,90
TXN,Texas Instruments Incorporated,STOCK,73.17,4.46x,100,2.98x,83,83.74x,85,2.02%,36,46.99%,99,30.54x,58,30.75x,70,0.29%,34,90.96%,98,48.04x,28,1.56x,36,15.24x,91,29.11%,100,Buy (2.30),60,32.35%,100,18.60%,98,2.12%,95
TXT,Textron Inc.,STOCK,71.90,1.70x,81,3.26x,79,48.10x,100,0.08%,5,11.06%,7,11.33x,92,12.98x,94,0.71%,36,91.18%,98,18.08x,92,1.22x,69,2.10x,79,6.15%,25,Buy (2.29),60,12.25%,48,11.80%,88,3.09%,92
TYL,"Tyler Technologies, Inc.",STOCK,56.55,1.00x,12,3.37x,78,1.35x,72,N/A,N/A,18.89%,12,30.79x,57,23.40x,91,0.50%,35,102.80%,99,46.28x,35,1.70x,25,3.91x,97,13.26%,53,Buy (1.64),84,8.93%,20,8.60%,74,4.50%,86
UAL,"United Airlines Holdings, Inc.",STOCK,66.46,0.70x,3,1.72x,94,195.08x,5,N/A,N/A,13.04%,11,5.94x,99,6.57x,98,0.63%,36,90.31%,98,8.28x,98,6.50x,0,1.90x,83,6.06%,24,Strong Buy (1.35),91,25.73%,99,10.60%,84,4.43%,86
UBER,"Uber Technologies, Inc.",STOCK,72.88,1.14x,21,3.66x,73,43.81x,99,N/A,N/A,12.13%,3,25.40x,77,17.48x,97,0.45%,35,86.23%,97,15.88x,99,4.51x,0,5.74x,97,19.33%,77,Buy (1.55),87,39.93%,100,20.10%,99,2.85%,93
UDR,"UDR, Inc.",STOCK,35.91,0.58x,2,4.97x,45,142.37x,31,4.75%,93,59.18%,100,17.90x,46,60.65x,0,0.44%,35,108.35%,100,24.76x,6,8.17x,0,3.68x,1,28.00%,100,Buy (2.45),52,12.35%,49,-0.40%,17,7.20%,64
UHS,"Universal Health Services, Inc.",STOCK,76.41,1.08x,17,3.17x,81,67.41x,96,0.48%,8,15.02%,27,5.75x,100,6.57x,98,5.54%,64,97.20%,99,6.97x,100,1.17x,74,1.37x,92,8.56%,34,Buy (2.32),59,21.37%,97,9.60%,79,4.81%,84
ULTA,"Ulta Beauty, Inc.",STOCK,67.80,1.41x,52,2.53x,88,77.83x,90,N/A,N/A,14.79%,18,13.61x,82,16.83x,87,0.43%,35,101.58%,99,20.75x,88,1.79x,19,8.38x,0,9.31%,37,Buy (1.93),76,43.59%,100,11.80%,88,4.70%,85
UNH,UnitedHealth Group Incorporated,STOCK,51.07,0.80x,5,1.68x,94,73.98x,92,2.40%,47,4.77%,1,17.88x,37,17.77x,85,0.81%,37,84.67%,97,27.87x,30,1.28x,63,3.55x,31,2.68%,11,Buy (1.68),83,12.18%,47,2.00%,29,1.86%,95
UNP,Union Pacific Corporation,STOCK,57.02,0.92x,9,9.66x,1,162.25x,17,2.07%,38,50.96%,100,14.98x,73,19.46x,80,0.12%,33,88.97%,98,21.94x,86,3.32x,0,8.56x,0,29.20%,100,Buy (1.79),80,40.69%,100,3.20%,37,4.97%,83
UPS,"United Parcel Service, Inc.",STOCK,56.44,1.21x,29,2.61x,87,181.51x,9,6.10%,99,13.49%,13,9.59x,96,13.57x,93,0.02%,33,69.74%,87,17.41x,93,1.66x,28,5.63x,2,5.94%,24,Buy (2.24),62,33.35%,100,-1.60%,13,2.20%,95
URI,"United Rentals, Inc.",STOCK,63.56,0.80x,5,3.55x,75,167.47x,15,0.82%,12,27.79%,91,16.35x,61,17.64x,85,0.58%,35,93.72%,99,24.27x,80,1.59x,33,6.68x,0,15.32%,61,Buy (1.71),82,28.24%,100,7.20%,66,3.29%,91
USB,U.S. Bancorp,STOCK,66.58,N/A,N/A,0.00x,99,N/A,N/A,3.66%,80,0.00%,0,N/A,N/A,9.98x,97,0.13%,33,83.31%,96,11.80x,83,1.93x,12,1.50x,85,29.29%,100,Buy (2.05),71,12.35%,80,4.60%,47,0.00%,98
V,Visa Inc.,STOCK,61.71,1.09x,18,3.34x,78,67.23x,96,0.82%,12,70.06%,100,20.86x,21,22.40x,68,0.59%,35,91.63%,98,28.57x,0,1.73x,23,16.37x,0,51.68%,100,Strong Buy (1.34),91,60.35%,100,17.10%,97,1.39%,96
VICI,VICI Properties Inc.,STOCK,79.74,11.12x,100,3.11x,82,61.85x,98,6.24%,99,98.77%,100,12.08x,89,9.69x,97,0.29%,34,100.22%,99,9.79x,98,N/A,N/A,1.10x,93,76.83%,100,Buy (1.79),80,11.33%,39,3.50%,39,2.86%,93
VLO,Valero Energy Corporation,STOCK,33.59,1.65x,77,2.07x,92,43.99x,99,1.91%,33,6.55%,2,11.19x,9,13.12x,17,0.58%,35,87.86%,98,18.03x,12,4.08x,0,3.11x,46,2.02%,8,Buy (2.26),61,8.30%,16,-2.10%,11,3.41%,91
VLTO,Veralto Corporation,STOCK,64.95,1.48x,60,1.91x,93,95.54x,75,0.59%,10,24.64%,80,16.66x,58,18.87x,82,0.19%,33,99.55%,99,22.59x,84,3.27x,0,7.16x,0,17.32%,69,Buy (1.89),77,36.46%,100,6.80%,63,1.79%,95
VMC,Vulcan Materials Company,STOCK,48.69,2.59x,100,3.97x,67,61.25x,98,0.69%,3,29.05%,82,18.64x,0,27.77x,41,0.30%,34,98.36%,99,35.23x,0,3.22x,0,4.55x,9,13.81%,55,Buy (1.73),82,13.46%,59,7.40%,67,4.52%,86
VRSK,"Verisk Analytics, Inc.",STOCK,55.12,1.02x,13,3.66x,73,N/A,N/A,1.10%,16,48.61%,100,18.44x,41,20.96x,74,0.29%,34,103.23%,99,27.61x,69,1.80x,19,81.11x,0,29.34%,100,Buy (2.26),61,N/A,N/A,3.90%,42,6.07%,75
VRSN,"VeriSign, Inc.",STOCK,71.06,0.46x,1,1.92x,93,N/A,N/A,1.21%,18,69.64%,100,22.21x,85,25.58x,86,10.57%,91,91.14%,98,30.10x,89,3.25x,0,-11.21x,100,49.96%,100,Buy (2.00),73,N/A,N/A,6.60%,62,1.90%,95
VRT,Vertiv Holdings Co,STOCK,53.90,1.49x,61,1.42x,95,76.91x,90,0.08%,5,21.98%,64,53.24x,0,38.12x,7,0.27%,34,80.30%,95,82.70x,0,1.65x,29,31.87x,0,14.37%,57,Buy (1.62),85,45.10%,100,30.10%,100,3.50%,91
VRTX,Vertex Pharmaceuticals Incorporated,STOCK,64.31,2.90x,100,3.20x,80,10.91x,81,N/A,N/A,40.55%,100,21.19x,8,19.52x,80,0.21%,33,97.13%,99,27.71x,31,2.10x,7,5.77x,2,32.94%,100,Buy (1.59),86,22.54%,98,9.50%,79,1.92%,95
VST,Vistra Corp.,STOCK,57.44,0.78x,4,2.79x,86,399.55x,0,0.59%,10,29.47%,46,14.24x,61,13.86x,93,0.80%,36,93.10%,99,71.23x,0,1.36x,55,20.03x,0,5.32%,21,Strong Buy (1.40),90,17.66%,88,13.60%,93,3.84%,89
VTR,"Ventas, Inc.",STOCK,47.19,0.21x,0,5.97x,25,93.74x,77,2.36%,46,37.44%,99,24.38x,6,97.08x,0,0.53%,35,103.25%,99,160.04x,0,1.72x,98,3.26x,2,4.26%,17,Buy (1.52),87,2.14%,2,21.90%,99,4.65%,85
VTRS,Viatris Inc.,STOCK,63.81,1.38x,48,3.99x,67,99.91x,71,3.20%,70,27.68%,98,7.71x,100,5.65x,99,0.45%,35,86.39%,97,N/A,N/A,0.15x,66,1.18x,94,-24.58%,0,Buy (2.09),69,-21.08%,0,5.00%,50,3.04%,92
VZ,Verizon Communications Inc.,STOCK,72.12,0.64x,2,3.19x,80,187.22x,7,5.88%,98,36.35%,99,7.71x,98,9.15x,97,0.05%,33,69.38%,87,11.73x,97,0.90x,95,1.94x,83,12.46%,50,Buy (2.24),62,17.20%,86,2.90%,35,2.15%,95
WAB,Westinghouse Air Brake Technologies Corporation,STOCK,58.84,1.02x,14,2.45x,89,62.03x,98,0.40%,8,21.90%,64,20.40x,24,21.85x,71,0.73%,36,96.36%,99,37.48x,30,1.37x,54,4.06x,17,10.52%,42,Strong Buy (1.45),89,11.31%,38,13.00%,91,1.89%,95
WAT,Waters Corporation,STOCK,63.27,1.73x,84,3.89x,69,60.28x,99,N/A,N/A,34.56%,100,28.41x,0,18.79x,82,0.11%,33,63.51%,79,28.54x,26,1.34x,57,7.14x,0,20.30%,81,Buy (1.91),76,29.28%,100,6.80%,63,3.80%,89
WBD,"Warner Bros. Discovery, Inc.",STOCK,40.04,1.06x,16,2.31x,90,98.91x,72,N/A,N/A,19.74%,48,13.62x,82,-1541.14x,100,4.21%,56,73.11%,91,93.00x,0,216.92x,0,1.86x,84,1.95%,8,Hold (3.14),22,2.08%,2,-5.70%,4,2.68%,93
WDAY,"Workday, Inc.",STOCK,64.98,1.32x,41,3.90x,68,48.96x,100,N/A,N/A,14.35%,4,22.62x,84,10.21x,99,2.23%,44,97.21%,99,49.02x,25,0.47x,93,4.22x,97,7.26%,29,Buy (1.95),75,8.23%,16,14.50%,94,9.23%,42
WDC,Western Digital Corporation,STOCK,79.69,1.46x,57,3.07x,82,65.44x,97,0.12%,6,31.27%,71,44.18x,12,25.50x,87,0.56%,35,103.45%,99,25.84x,94,0.88x,96,20.63x,84,35.64%,100,Buy (1.54),87,41.13%,100,25.20%,100,8.92%,45
WEC,"WEC Energy Group, Inc.",STOCK,56.06,0.59x,2,7.99x,5,159.33x,76,3.24%,71,39.47%,94,15.78x,39,19.56x,79,0.15%,33,84.55%,97,24.37x,80,2.62x,1,2.81x,57,15.89%,64,Buy (2.35),57,11.58%,41,11.10%,86,5.17%,82
WELL,Welltower Inc.,STOCK,43.23,1.65x,77,5.79x,28,44.49x,100,1.36%,21,25.40%,83,56.73x,0,65.01x,0,0.07%,33,98.78%,99,105.30x,0,3.66x,10,3.59x,1,11.96%,48,Buy (1.65),84,3.67%,3,38.30%,100,2.76%,93
WFC,Wells Fargo & Company,STOCK,70.05,N/A,N/A,0.00x,99,N/A,N/A,2.19%,41,0.00%,0,N/A,N/A,10.26x,96,0.10%,33,79.73%,95,12.49x,75,1.46x,45,1.52x,85,26.74%,100,Buy (1.88),77,12.03%,77,5.70%,55,0.00%,98
WM,"Waste Management, Inc.",STOCK,52.21,0.93x,9,3.41x,77,228.41x,1,1.49%,23,30.15%,95,14.96x,73,24.74x,57,0.25%,34,84.12%,97,33.11x,47,2.37x,2,9.23x,0,10.99%,44,Buy (1.75),81,29.94%,100,3.50%,39,1.54%,96
WMB,"The Williams Companies, Inc.",STOCK,45.39,0.53x,1,2.81x,85,197.03x,5,2.78%,58,57.29%,100,18.29x,0,29.07x,0,0.46%,35,89.02%,98,35.30x,0,2.56x,1,7.23x,0,22.13%,89,Buy (1.56),86,18.55%,92,8.70%,75,1.59%,96
WMT,Walmart Inc.,STOCK,32.95,0.79x,5,3.66x,73,64.44x,97,0.75%,11,6.17%,2,25.29x,0,40.09x,5,44.94%,1,38.81%,25,48.21x,0,4.94x,0,10.53x,0,3.07%,12,Strong Buy (1.45),89,21.85%,98,5.60%,54,1.56%,96
WRB,W. R. Berkley Corporation,STOCK,55.70,N/A,N/A,0.00x,99,31.92x,96,0.54%,9,17.46%,32,9.29x,96,13.78x,93,25.08%,60,76.01%,93,14.06x,49,3.91x,0,2.58x,31,12.64%,51,Hold (3.22),20,N/A,N/A,4.00%,43,0.00%,98
WSM,"Williams-Sonoma, Inc.",STOCK,55.13,1.39x,49,4.92x,46,69.96x,95,1.69%,28,21.12%,58,13.26x,84,17.75x,85,1.18%,39,97.25%,99,20.36x,89,2.44x,1,10.27x,0,13.94%,56,Buy (2.27),61,51.52%,100,-4.30%,6,7.93%,56
WST,"West Pharmaceutical Services, Inc.",STOCK,55.07,2.71x,100,3.18x,81,10.73x,81,0.30%,7,27.01%,98,24.19x,1,31.47x,24,0.63%,36,99.30%,99,40.14x,1,2.86x,0,7.13x,0,16.85%,67,Buy (1.53),87,19.13%,93,21.00%,99,4.38%,87
WTW,Willis Towers Watson Public Limited Company,STOCK,69.99,1.19x,26,3.72x,72,85.69x,84,1.50%,24,27.14%,89,10.93x,93,11.53x,95,0.26%,34,97.73%,99,15.06x,31,1.27x,64,3.06x,13,16.84%,67,Buy (1.86),78,20.61%,100,8.50%,74,2.51%,94
WY,Weyerhaeuser Company,STOCK,40.61,1.42x,52,4.30x,60,57.46x,99,3.43%,75,10.48%,6,31.15x,0,36.76x,9,0.36%,34,92.94%,99,42.84x,0,1.86x,94,1.83x,62,5.78%,23,Buy (1.75),81,4.16%,4,-2.00%,11,3.24%,92
WYNN,"Wynn Resorts, Limited",STOCK,64.33,1.63x,76,5.42x,35,N/A,N/A,0.93%,14,24.51%,79,11.64x,91,18.42x,83,27.14%,48,69.39%,87,33.75x,45,0.71x,100,-39.43x,100,4.59%,18,Strong Buy (1.21),93,N/A,N/A,1.50%,26,9.16%,43
XEL,Xcel Energy Inc.,STOCK,61.15,0.71x,3,6.40x,18,152.83x,80,3.01%,65,40.77%,96,14.21x,61,18.23x,84,0.20%,33,92.68%,99,23.80x,81,2.34x,2,2.18x,77,13.76%,55,Strong Buy (1.42),89,9.36%,23,14.10%,94,5.08%,82
XOM,Exxon Mobil Corporation,STOCK,38.73,1.15x,23,1.69x,94,18.94x,87,2.67%,55,18.33%,38,11.62x,7,15.02x,5,0.08%,33,67.75%,85,22.80x,1,1.42x,49,2.46x,69,8.90%,36,Buy (2.36),57,11.08%,36,-1.30%,14,1.16%,97
XYL,Xylem Inc.,STOCK,57.74,1.46x,58,2.49x,89,18.35x,87,1.49%,23,21.03%,58,15.13x,72,18.96x,81,0.32%,34,99.16%,99,28.77x,65,1.68x,26,2.45x,69,10.79%,43,Buy (1.96),74,8.72%,19,2.70%,34,2.81%,93
XYZ,"Block, Inc.",STOCK,68.62,2.20x,98,3.62x,74,40.44x,99,N/A,N/A,8.56%,1,21.62x,86,14.96x,98,1.37%,39,83.82%,97,34.20x,80,0.80x,99,1.95x,98,5.40%,22,Buy (1.60),85,6.01%,7,3.60%,40,4.06%,88
YUM,"Yum! Brands, Inc.",STOCK,64.55,0.65x,2,4.18x,63,N/A,N/A,1.88%,33,35.22%,99,18.39x,41,21.17x,73,0.17%,33,89.52%,98,25.58x,76,1.97x,11,-5.99x,100,20.48%,82,Buy (2.24),62,N/A,N/A,15.20%,95,2.78%,93
ZBH,"Zimmer Biomet Holdings, Inc.",STOCK,71.61,1.73x,84,5.11x,42,58.91x,99,1.16%,17,30.61%,99,9.02x,99,9.22x,97,0.20%,33,104.76%,100,21.48x,74,0.58x,98,1.27x,93,9.05%,36,Hold (2.59),45,6.07%,7,9.30%,78,6.84%,68
ZBRA,Zebra Technologies Corporation,STOCK,73.82,0.97x,11,3.18x,81,75.17x,92,N/A,N/A,18.25%,10,13.95x,96,11.32x,99,0.83%,37,101.14%,99,27.79x,92,0.48x,93,3.14x,98,7.76%,31,Buy (1.78),80,11.68%,42,10.60%,84,5.34%,81
ZS,"Zscaler, Inc.",STOCK,59.95,1.90x,92,3.53x,75,85.00x,84,N/A,N/A,-2.27%,0,-306.30x,100,30.47x,71,35.19%,13,58.16%,69,N/A,N/A,1.41x,50,10.22x,95,-2.25%,0,Buy (1.52),87,-3.56%,0,25.90%,100,10.08%,33
ZTS,Zoetis Inc.,STOCK,66.83,3.03x,100,3.69x,72,279.59x,0,1.84%,31,42.95%,100,13.57x,88,15.07x,91,0.15%,33,100.96%,99,18.96x,86,1.86x,15,14.56x,0,28.23%,100,Buy (2.00),73,65.99%,100,3.00%,36,3.63%,90
